"Ingrediente","Tr. Baguette","Formule Sandwich","Croissant","Pain Au Chocolat","Banette","Baguette","Sandwich Complet","Special Bread Traiteur","Grand Far Breton","Tartelette","Cereal Baguette","Vik Bread","Brioche","Gd Kouign Amann","Campagne","Boule (400g)","Éclair","Moisson","Sand Jb Emmental","Complet","Kouign Amann","Pain Banette","Divers Viennoiserie","Financier x5","","","","","","","","","","","",""
"Harina de Trigo (g)","125","125","60","60","130","125","125","100","50","40","90","80","70","75","100","200","25","80","125","100","50","130","60","50","","","","","","","","","","","",""
"Harina de Centeno (g)","","","","","","","","25","","","","","","","25","","","25","","","","","","","","","","","","","","","","","",""
"Harina de Almendra (g)","","","","","","","","","","","","","","","","","","","","","","","","50","","","","","","","","","","","",""
"Harina de Cereales (g)","","","","","","","","","","","35","","","","","","","","","","","","","","","","","","","","","","","","",""
"Harina de Espelta (g)","","","","","","","","","","","","45","","","","","","","","","","","","","","","","","","","","","","","",""
"Manteca (g)","","10","30","30","","","","","","20","","","30","50","","","15","","","","30","","30","50","","","","","","","","","","","",""
"Leche (ml)","","","","","","","","","100","","","","25","","","","20","","","","","","","","","","","","","","","","","","",""
"Sal (g)","3","3","1","1","3","3","3","3","","","3","3","","1","3","4","","3","3","3","1","3","1","","","","","","","","","","","","",""
"Azúcar (g)","","","5","5","","","","","25","10","","","10","25","","","5","","","","15","","5","75","","","","","","","","","","","",""
"Levadura Fresca (g)","2","2","2","2","2","2","2","","","","2","2","2","","2","3","","2","2","2","","2","2","","","","","","","","","","","","",""
"Rodaja de Tomate (u)","","","","","","","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hoja de Lechuga (u)","","1","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
"Feta de Jamón (u)","","1","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
"Feta de Queso (u)","","1","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
"Huevo (u)","","","","","","","","","1","0.5","","","0.5","","","","1","","","","","","","1","","","","","","","","","","","",""
"Chocolate Glaseado (g)","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","","",""
"Chocolate Barra (g)","","","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ciruela (u)","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
