,Harina de Trigo (g),Manteca (g),Sal (g),Azúcar (g)
2022-10-09,242571.29310397233,13207.92565843802,5111.308756771278,3082.995123096633
2022-10-16,222126.83420080235,13505.525431115544,4354.69981923519,2002.7777297353125
2022-10-23,275025.30980747286,13938.843380021472,5481.6540513505515,2387.9083538942577
2022-10-30,387624.0492829526,22202.694818002252,7955.219889738402,5202.252806524381
2022-11-06,359575.7890819989,20700.818291887867,7296.659468277217,4909.917433465295
2022-11-13,262379.8606819031,14241.061335795224,5020.767819188497,2340.198103638508
2022-11-20,190248.9889851238,9657.22773128527,3313.7985813327978,932.540015648026
2022-11-27,184956.49891801993,8633.680502375833,3203.5695832432807,591.5060284580514
2022-12-04,182809.14878479647,10193.436228099108,3135.5921883488163,1306.7517083909509
2022-12-11,135892.50452245277,7485.2451599419455,2040.6770277389962,68.0056680715429
2022-12-18,205059.6818256431,12234.989557820221,3657.258889467351,1665.0540750200491
2022-12-25,337047.6742906087,18211.62370599309,6782.5709753613455,3457.7284456090424
2023-01-01,317794.0948910308,15537.805828378834,6388.738364966957,2750.896027635775
2023-01-08,169118.63984360144,7225.322886646604,2842.8281456350564,639.4522225252676
2023-01-15,172566.6470668248,8290.376146041526,2920.876300168515,373.31461460636456
2023-01-22,185716.05516808463,8413.773143856723,3232.902128213035,582.4182666382552
2023-01-29,185348.48189657403,10306.056738118297,3204.9159812780704,1026.7120130454452
2023-02-05,192534.81784845292,8897.591859138442,3343.923411473211,1231.1555392706362
2023-02-12,221685.55331079706,11928.62382728889,4028.9273967139975,2005.717080528332
2023-02-19,291040.95819428726,17079.317556479975,5604.929534227729,2895.3716085988285
2023-02-26,289671.1810889629,16019.783908266489,5564.930680699222,3000.0994031606406
2023-03-05,305671.30379595805,15320.09740810413,5988.93129561779,2884.884926109825
2023-03-12,221386.37134807234,12030.30815490738,4003.931625433965,1494.7159346097594
2023-03-19,223066.4085365648,14050.449827118187,4021.9318023333403,2234.58278224224
2023-03-26,242386.42900940985,17570.54506469713,4451.931897214647,3254.477868368053
2023-04-02,217141.44028003037,11120.609087107692,3946.9319481049447,1494.3952042652559
2023-04-09,226671.4464846826,13385.652125466066,4145.931975400335,1844.3300712793227
2023-04-16,334796.44990044046,21450.681057527116,6625.931990040425,3544.2787514716556
2023-04-23,395216.4517808687,26725.700506785604,8003.931997892745,6194.2383153912115
2023-04-30,343126.45281607355,21405.71358133481,6865.932002104394,3499.206454854775
2023-05-07,297921.4533859701,16295.722370556112,5810.93200436335,3159.181351190658
2023-05-14,281546.45369970705,15415.72827901304,5429.932005574949,3124.161571424753
2023-05-21,285981.453872424,16055.73225090796,5520.932006224802,2484.1459864831577
2023-05-28,542576.4539675075,40680.73492097046,11304.932006573357,10059.133706742043
2023-06-04,353231.45401985233,22310.73671589047,7022.9320067603085,4074.1240312459295
2023-06-11,345836.454048669,24205.737922505625,6790.93200686058,4854.116407695554
2023-06-18,319421.4540645331,18780.738733639344,6286.932006914361,3554.1104009213577
2023-06-25,307111.4540732665,19425.739278915025,5975.932006943206,3554.1056680430465
2023-07-02,336291.4540780745,17975.739645470578,6668.93200695868,3669.1019388971895
2023-07-09,432086.45408072136,23445.7398918835,8897.93200696698,5034.099000615685
2023-07-16,705656.4540821781,49495.74005753185,15107.932006971427,11014.09668547475
2023-07-23,588591.4540829805,41065.74016888714,12449.932006973813,9174.094861320895
2023-07-30,620256.4540834218,41245.74024374451,13198.932006975096,8969.093424027278
2023-08-06,698366.4540836652,46305.740294066534,15001.932006975785,10889.092291549914
2023-08-13,834111.4540837988,63315.74032789495,17989.93200697615,14574.09139924444
2023-08-20,736181.4540838728,51580.740350635744,15849.932006976343,12569.090696176012
2023-08-27,507616.45408391306,32125.74036592301,10630.93200697645,7334.090142211905
2023-09-03,304711.4540839354,16400.740376199687,5972.932006976505,3009.0897057305924
