,Total_Quantity,Cumulative_Percentage,Category
Harina de Trigo (g),29254540.0,84.6513823016944,B
Manteca (g),2127125.0,90.80646358406943,B
Sal (g),674538.0,92.75831700972645,B
Azúcar (g),559980.0,94.37868366260504,B
Levadura Fresca (g),527163.0,95.90409054469269,C
Chocolate Barra (g),380505.0,97.00512560532621,C
Leche (ml),265755.0,97.7741183190584,C
Harina de Cereales (g),261730.0,98.53146423151584,C
Harina de Centeno (g),193600.0,99.09166813879341,C
Harina de Espelta (g),163620.0,99.56512146166922,C
Harina de Almendra (g),63450.0,99.74872134760291,C
Chocolate Glaseado (g),36690.0,99.85488809015463,C
Hoja de Lechuga (u),10008.0,99.88384739131183,C
Feta de Jamón (u),10008.0,99.91280669246903,C
Feta de Queso (u),10008.0,99.94176599362623,C
Huevo (u),9815.0,99.97016682704529,C
Rodaja de Tomate (u),5822.0,99.98701345487675,C
Ciruela (u),4488.0,100.0,C
