,Harina de Trigo (g),Manteca (g),Sal (g),Azúcar (g)
2020-12-28,89230,7520,2077,1735
2021-01-04,176665,10640,4143,2005
2021-01-11,164625,10630,3872,1930
2021-01-18,159070,10395,3685,2965
2021-01-25,166160,13615,3827,3340
2021-02-01,171765,13230,3949,2980
2021-02-08,177465,14650,4036,3855
2021-02-15,219720,15180,5081,4215
2021-02-22,382120,30290,8774,7455
2021-03-01,326940,20840,7624,5685
2021-03-08,261765,20280,5965,5140
2021-03-15,237910,16315,5496,4710
2021-03-22,228290,13965,5326,3420
2021-03-29,311080,20455,7219,5830
2021-04-05,278215,16305,6556,4265
2021-04-12,319075,21880,7432,6040
2021-04-19,348640,23290,8126,5635
2021-04-26,299305,19740,6979,5420
2021-05-03,333550,22705,7720,6250
2021-05-10,529505,43540,12106,12000
2021-05-17,196590,17725,4461,5135
2021-05-24,353880,26210,8160,7160
2021-05-31,306740,21750,7096,5435
2021-06-07,306890,24500,7074,6175
2021-06-14,306230,21130,7137,5560
2021-06-21,323075,21630,7529,5585
2021-06-28,322125,21285,7500,5705
2021-07-05,424750,29400,9812,8430
2021-07-12,597605,44675,13797,11330
2021-07-19,579145,44360,13284,12010
2021-07-26,590260,39975,13631,11645
2021-08-02,643845,47680,14784,13485
2021-08-09,742555,56095,17001,16225
2021-08-16,643250,46430,14815,13045
2021-08-23,525165,34035,12177,10090
2021-08-30,365280,27030,8423,7575
2021-09-06,328630,22360,7611,5765
2021-09-13,276545,18150,6412,5015
2021-09-20,261860,17760,6066,4570
2021-09-27,223215,16160,5148,3900
2021-10-04,257575,18210,5912,4940
2021-10-11,218360,17625,4997,3885
2021-10-18,260925,17465,6039,4290
2021-10-25,367835,25330,8467,7120
2021-11-01,336655,23560,7784,6840
2021-11-08,237735,16920,5495,4280
2021-11-15,164655,12215,3781,2880
2021-11-22,158840,11110,3667,2545
2021-11-29,156405,12615,3597,3265
2021-12-06,109330,9870,2501,2030
2021-12-13,178410,14595,4117,3630
2021-12-20,310350,20555,7242,5425
2021-12-27,291070,17870,6848,4720
2022-01-03,142380,9550,3302,2610
2022-01-10,145820,10610,3380,2345
2022-01-17,158965,10730,3692,2555
2022-01-24,158595,12620,3664,3000
2022-01-31,165780,11210,3803,3205
2022-02-07,194930,14240,4488,3980
2022-02-14,264285,19390,6064,4870
2022-02-21,262915,18330,6024,4975
2022-02-28,278915,17630,6448,4860
2022-03-07,194630,14340,4463,3470
2022-03-14,196310,16360,4481,4210
2022-03-21,215630,19880,4911,5230
2022-03-28,190385,13430,4406,3470
2022-04-04,199915,15695,4605,3820
2022-04-11,308040,23760,7085,5520
2022-04-18,368460,29035,8463,8170
2022-04-25,316370,23715,7325,5475
2022-05-02,271165,18605,6270,5135
2022-05-09,254790,17725,5889,5100
2022-05-16,259225,18365,5980,4460
2022-05-23,515820,42990,11764,12035
2022-05-30,326475,24620,7482,6050
2022-06-06,319080,26515,7250,6830
2022-06-13,292665,21090,6746,5530
2022-06-20,280355,21735,6435,5530
2022-06-27,309535,20285,7128,5645
2022-07-04,405330,25755,9357,7010
2022-07-11,678900,51805,15567,12990
2022-07-18,561835,43375,12909,11150
2022-07-25,593500,43555,13658,10945
2022-08-01,671610,48615,15461,12865
2022-08-08,807355,65625,18449,16550
2022-08-15,709425,53890,16309,14545
2022-08-22,480860,34435,11090,9310
2022-08-29,277955,18710,6432,4985
2022-09-05,273200,22915,6229,5845
2022-09-12,263090,18550,6054,5185
2022-09-19,219055,15850,5065,3880
2022-09-26,174115,9845,4052,2075
